source_run_id,method,scenario,disturbance,init_variant,snapshot_t_s,vehicle,ablation,q_M,q_R,qdot_space_s-1,qdot_partner_s-1,qdot_clipped_s-1,K_to_partner_s-1,W_to_partner,a_nom_mps2,a_actual_reference_mps2,full_reproduction_error,target_gap_physical_m,target_gap_process_m,window_opening_accel_mps2,post_front_id
C_ample_prepare_i2,C,ample,prepare,2,1.7,R,full,0.7112498880280296,0.616330034089674,0.0,0.005086128628820755,0.3650861286288207,0.17,0.2014057142906158,-0.11702125027975696,-0.11702125027975696,0.0,27.2,27.2,0.0,F
C_ample_prepare_i2,C,ample,prepare,2,1.7,M,no_space,0.7112498880280296,0.616330034089674,0.0,-0.005086128628820755,0.41491387137117924,0.17,0.2014057142906158,-0.16558434740499806,-0.157858425505227,,27.2,27.2,0.0,F
C_ample_prepare_i2,C,ample,prepare,2,1.7,R,no_space,0.7112498880280296,0.616330034089674,0.0,0.005086128628820755,0.3650861286288207,0.17,0.2014057142906158,-0.11702125027975696,-0.11702125027975696,,27.2,27.2,0.0,F
C_ample_prepare_i2,C,ample,prepare,2,1.7,M,fixed_W,0.7112498880280296,0.616330034089674,0.001480912765913264,-0.00505062991557607,0.4164302828503372,0.17,0.2,-0.15767322871823097,-0.157858425505227,,27.2,27.2,0.0,F
C_ample_prepare_i2,C,ample,prepare,2,1.7,R,fixed_W,0.7112498880280296,0.616330034089674,0.0,0.00505062991557607,0.3650506299155761,0.17,0.2,-0.11702125027975696,-0.11702125027975696,,27.2,27.2,0.0,F
C_ample_prepare_i2,C,ample,prepare,2,1.7,M,no_partner,0.7112498880280296,0.616330034089674,0.001480912765913264,0.0,0.42148091276591326,0.17,0.2014057142906158,-0.1313240924486699,-0.157858425505227,,27.2,27.2,0.0,F
C_ample_prepare_i2,C,ample,prepare,2,1.7,R,no_partner,0.7112498880280296,0.616330034089674,0.0,0.0,0.36,0.17,0.2014057142906158,-0.11702125027975696,-0.11702125027975696,,27.2,27.2,0.0,F
C_short_window_prepare_i0,C,short_window,prepare,0,3.25,M,full,1.0,0.9211650413370224,-0.00015889695216235287,-0.0064895830247363616,0.0,0.17,0.3090577840393903,1.197237728817859,1.197237728817859,0.0,21.400000000000002,20.753553338963584,0.0,F
C_short_window_prepare_i0,C,short_window,prepare,0,3.25,R,full,1.0,0.9211650413370224,-0.07672198994841184,0.0064895830247363616,0.2897675930763245,0.17,0.3090577840393903,2.6486658577521554,2.6486658577521554,0.0,21.400000000000002,20.753553338963584,0.0,F
C_short_window_prepare_i0,C,short_window,prepare,0,3.25,M,no_space,1.0,0.9211650413370224,0.0,-0.0064895830247363616,0.0,0.17,0.3090577840393903,1.197237728817859,1.197237728817859,,21.400000000000002,20.753553338963584,0.0,F
C_short_window_prepare_i0,C,short_window,prepare,0,3.25,R,no_space,1.0,0.9211650413370224,0.0,0.0064895830247363616,0.36648958302473633,0.17,0.3090577840393903,2.6486658577521554,2.6486658577521554,,21.400000000000002,20.753553338963584,0.0,F
C_short_window_prepare_i0,C,short_window,prepare,0,3.25,M,fixed_W,1.0,0.9211650413370224,-0.00015889695216235287,-0.004199592024454071,0.0,0.17,0.2,1.197237728817859,1.197237728817859,,21.400000000000002,20.753553338963584,0.0,F
C_short_window_prepare_i0,C,short_window,prepare,0,3.25,R,fixed_W,1.0,0.9211650413370224,-0.07672198994841184,0.004199592024454071,0.2874776020760422,0.17,0.2,2.6486658577521554,2.6486658577521554,,21.400000000000002,20.753553338963584,0.0,F
C_short_window_prepare_i0,C,short_window,prepare,0,3.25,M,no_partner,1.0,0.9211650413370224,-0.00015889695216235287,0.0,0.0,0.17,0.3090577840393903,1.197237728817859,1.197237728817859,,21.400000000000002,20.753553338963584,0.0,F
C_short_window_prepare_i0,C,short_window,prepare,0,3.25,R,no_partner,1.0,0.9211650413370224,-0.07672198994841184,0.0,0.28327801005158815,0.17,0.3090577840393903,2.6486658577521554,2.6486658577521554,,21.400000000000002,20.753553338963584,0.0,F
D_ample_none_i0,D,ample,none,0,1.25,M,full,0.5248188877958033,0.45201704632247913,0.002594719685585333,-0.0030658993226907465,0.41952882036289457,0.16155965896661956,0.1663066875624304,-0.2119936370430494,-0.2119936370430494,0.0,30.2,30.2,0.0,F
D_ample_none_i0,D,ample,none,0,1.25,R,full,0.5248188877958033,0.45201704632247913,0.0,0.0033862421115161013,0.3633862421115161,0.17844034103338047,0.1663066875624304,0.007235322945177529,0.007235322945177529,0.0,30.2,30.2,0.0,F
D_ample_none_i0,D,ample,none,0,1.25,M,symmetric_k,0.5248188877958033,0.45201704632247913,0.002594719685585333,-0.0032260707171034237,0.4193686489684819,0.17,0.1663066875624304,-0.21274323916890125,-0.2119936370430494,,30.2,30.2,0.0,F
D_ample_none_i0,D,ample,none,0,1.25,R,symmetric_k,0.5248188877958033,0.45201704632247913,0.0,0.0032260707171034237,0.3632260707171034,0.17,0.1663066875624304,0.007235322945177529,0.007235322945177529,,30.2,30.2,0.0,F
D_ample_none_i2,D,ample,none,2,1.7,M,full,0.7113835564389982,0.6165049555362434,0.0012424272690163757,-0.00485031420312334,0.416392113065893,0.15934550895785138,0.2049985572562275,-0.047817781399572115,-0.047817781399572115,0.0,27.2,27.2,0.0,F
D_ample_none_i2,D,ample,none,2,1.7,R,full,0.7113835564389982,0.6165049555362434,0.0,0.005498937808103048,0.36549893780810305,0.18065449104214865,0.2049985572562275,0.15217784055276468,0.15217784055276468,0.0,27.2,27.2,0.0,F
D_ample_none_i2,D,ample,none,2,1.7,M,symmetric_k,0.7113835564389982,0.6165049555362434,0.0012424272690163757,-0.005174626005613193,0.41606780126340315,0.17,0.2049985572562275,-0.049509716073161056,-0.047817781399572115,,27.2,27.2,0.0,F
D_ample_none_i2,D,ample,none,2,1.7,R,symmetric_k,0.7113835564389982,0.6165049555362434,0.0,0.005174626005613193,0.3651746260056132,0.17,0.2049985572562275,0.15217784055276468,0.15217784055276468,,27.2,27.2,0.0,F
D_ample_prepare_i0,D,ample,prepare,0,1.25,M,full,0.5248188877958033,0.45201704632247913,0.002594719685585333,-0.0030658993226907465,0.41952882036289457,0.16155965896661956,0.1663066875624304,-0.2119936370430494,-0.2119936370430494,0.0,30.2,30.2,0.0,F
D_ample_prepare_i0,D,ample,prepare,0,1.25,R,full,0.5248188877958033,0.45201704632247913,0.0,0.0033862421115161013,0.3633862421115161,0.17844034103338047,0.1663066875624304,0.007235322945177529,0.007235322945177529,0.0,30.2,30.2,0.0,F
D_ample_prepare_i0,D,ample,prepare,0,1.25,M,symmetric_k,0.5248188877958033,0.45201704632247913,0.002594719685585333,-0.0032260707171034237,0.4193686489684819,0.17,0.1663066875624304,-0.21274323916890125,-0.2119936370430494,,30.2,30.2,0.0,F
D_ample_prepare_i0,D,ample,prepare,0,1.25,R,symmetric_k,0.5248188877958033,0.45201704632247913,0.0,0.0032260707171034237,0.3632260707171034,0.17,0.1663066875624304,0.007235322945177529,0.007235322945177529,,30.2,30.2,0.0,F
D_ample_prepare_i2,D,ample,prepare,2,1.7,M,full,0.7114141857768324,0.616497467844029,0.0014724917576837255,-0.004757885938043879,0.4167146058196398,0.1590339517354551,0.2014057142906158,-0.15650644330146762,-0.15650644330146762,0.0,27.2,27.2,0.0,F
D_ample_prepare_i2,D,ample,prepare,2,1.7,R,full,0.7114141857768324,0.616497467844029,0.0,0.005414037737888223,0.3654140377378882,0.18096604826454493,0.2014057142906158,-0.11702125027975696,-0.11702125027975696,0.0,27.2,27.2,0.0,F
D_ample_prepare_i2,D,ample,prepare,2,1.7,M,symmetric_k,0.7114141857768324,0.616497467844029,0.0014724917576837255,-0.00508596183796605,0.41638652991971764,0.17,0.2014057142906158,-0.15821801527136187,-0.15650644330146762,,27.2,27.2,0.0,F
D_ample_prepare_i2,D,ample,prepare,2,1.7,R,symmetric_k,0.7114141857768324,0.616497467844029,0.0,0.00508596183796605,0.36508596183796604,0.17,0.2014057142906158,-0.11702125027975696,-0.11702125027975696,,27.2,27.2,0.0,F
D_short_window_prepare_i0,D,short_window,prepare,0,3.25,M,full,1.0,0.9265806767196823,-0.00011999011956354787,-0.0056402319257947515,0.0,0.15708241791821803,0.3120342480044913,1.1833222476413918,1.1833222476413918,0.0,21.400000000000002,20.797961549101394,0.0,F
D_short_window_prepare_i0,D,short_window,prepare,0,3.25,R,full,1.0,0.9265806767196823,-0.07815769609628408,0.006567874367607344,0.28841017827132326,0.182917582081782,0.3120342480044913,2.645379828367888,2.645379828367888,0.0,21.400000000000002,20.797961549101394,0.0,F
D_short_window_prepare_i0,D,short_window,prepare,0,3.25,M,symmetric_k,1.0,0.9265806767196823,-0.00011999011956354787,-0.006104053146701048,0.0,0.17,0.3120342480044913,1.1833222476413918,1.1833222476413918,,21.400000000000002,20.797961549101394,0.0,F
D_short_window_prepare_i0,D,short_window,prepare,0,3.25,R,symmetric_k,1.0,0.9265806767196823,-0.07815769609628408,0.006104053146701048,0.28794635705041693,0.17,0.3120342480044913,2.645379828367888,2.645379828367888,,21.400000000000002,20.797961549101394,0.0,F
