run_id,method,ablation,scenario,disturbance,init_variant,vehicle,speed_deficit_distance_m,speed_deficit_integral_m_s,accel_squared_integral,abs_jerk_integral,abs_nominal_actual_difference_integral,safety_correction_count,safety_correction_abs_integral,action_saturation_count,safety_recheck_violation_count,distance_m,min_net_gap_m,min_FR_gap_m,min_RB_gap_m,min_MF_gap_m,min_MR_gap_m,prepare_speed_deficit_distance_m,execute_speed_deficit_distance_m,success_release_speed_deficit_distance_m,failure_handling_speed_deficit_distance_m,prepare_distance_m,execute_distance_m,success_release_distance_m,failure_handling_distance_m
A_collaborative_none_i2,A,,collaborative,none,2,B,2.1504335488080755,2.1504335488080755,0.6056195140982524,2.438570080583429,0.005713985776106778,0.0,0.0,1.0,0.0,286.5138725105416,15.695429035896336,nan,15.695429035896336,nan,nan,0.5721678349431172,1.5442377102164146,0.034028003648543505,0.0,31.81971413167308,52.471216055736065,202.22294232313246,0.0
A_collaborative_prepare_i0,A,,collaborative,prepare,0,M,1.1212173063460682,1.1212173063460682,4.428393891564607,4.6501176562781135,1.000563814121875,0.0,0.0,18.0,0.0,292.34263110178983,nan,nan,nan,nan,nan,0.508664936439179,0.0,0.0,0.6125523699068893,94.0430441357428,0.0,0.0,198.29958696604703
A_collaborative_prepare_i0,A,,collaborative,prepare,0,R,1.7835484172698355,1.7835484172698355,0.6695179749224613,4.223808607909707,0.2707949999999828,0.0,0.0,8.0,0.0,289.90317822079675,17.447636972083,17.99961072099951,17.447636972083,nan,nan,1.7688701452138704,0.0,0.0,0.014678272055964925,87.32905717971639,0.0,0.0,202.57412104108036
A_collaborative_prepare_i0,A,,collaborative,prepare,0,F,1.2972109757490844,1.2972109757490844,1.2654641879659725,4.565420960203316,1.1492918068214655,0.0,0.0,29.0,0.0,286.70278894179626,17.99961072099951,17.99961072099951,nan,nan,nan,1.2400425946464064,0.0,0.0,0.05716838110267572,87.85874249480071,0.0,0.0,198.84404644699555
A_collaborative_prepare_i0,A,,collaborative,prepare,0,B,0.0,0.0,0.059419806222343594,0.9255867871930211,0.006140323602705587,0.0,0.0,1.0,0.0,293.65554124871375,17.447636972083,nan,17.447636972083,nan,nan,0.0,0.0,0.0,0.0,89.70668567834988,0.0,0.0,203.94885557036386
A_collaborative_prepare_i1,A,,collaborative,prepare,1,M,0.0,0.0,0.5629961643929078,1.9111235627621341,0.005003087416586033,0.0,0.0,1.0,0.0,294.47067194116863,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,97.74088385808878,0.0,0.0,196.72978808307985
A_collaborative_prepare_i1,A,,collaborative,prepare,1,R,1.9402561300297105,1.9402561300297105,0.808127278765709,3.7779573645807436,0.19526676739332122,0.0,0.0,7.0,0.0,289.8378933550923,17.46785737794438,18.064895586703937,17.46785737794438,nan,nan,1.935370161683924,0.0,0.0,0.004885968345786473,89.91227205678086,0.0,0.0,199.92562129831146
A_collaborative_prepare_i1,A,,collaborative,prepare,1,F,1.2972109757490844,1.2972109757490844,1.2654641879659725,4.565420960203316,1.1492918068214655,0.0,0.0,29.0,0.0,286.70278894179626,18.064895586703937,18.064895586703937,nan,nan,nan,1.247026644638363,0.0,0.0,0.050184331110719266,90.5519068558711,0.0,0.0,196.15088208592516
A_collaborative_prepare_i1,A,,collaborative,prepare,1,B,0.0,0.0,0.09194854303904362,1.0801597994156753,0.010617565247425402,0.0,0.0,2.0,0.0,293.57003597714794,17.46785737794438,nan,17.46785737794438,nan,nan,0.0,0.0,0.0,0.0,92.3873256091222,0.0,0.0,201.18271036802574
A_collaborative_prepare_i2,A,,collaborative,prepare,2,M,3.802131268441389,3.802131268441389,10.376733008907783,10.431842717403951,5.1370344369415495,11.0,1.8798832982693003,73.0,22.0,288.3244691722633,7.635762507122547,nan,nan,8.068201362556447,7.635762507122547,0.0,2.916405742814799,0.0,0.88572552562659,36.42057666558158,51.170796364888915,0.0,200.73309614179283
A_collaborative_prepare_i2,A,,collaborative,prepare,2,R,13.702784643903936,13.702784643903936,10.271083470117764,13.88241674371696,6.631439651595335,25.0,4.921244073521056,96.0,22.0,274.37881565936345,7.635762507122547,18.230156250000004,14.94709699516535,nan,7.635762507122547,2.7956250000000047,3.0182472160053186,0.0,7.888912427898617,29.55968749999998,51.03455151529225,0.0,193.78457664407122
A_collaborative_prepare_i2,A,,collaborative,prepare,2,F,1.2972109757490844,1.2972109757490844,1.2654641879659725,4.565420960203316,1.1492918068214655,0.0,0.0,29.0,22.0,286.70278894179614,8.068201362556447,18.230156250000004,nan,8.068201362556447,nan,0.06782813281250029,1.1642585311353666,0.0,0.06512431180121564,32.3227429025099,52.843786459462024,0.0,201.53625957982422
A_collaborative_prepare_i2,A,,collaborative,prepare,2,B,7.552684819752599,7.552684819752599,1.3175202589336805,4.337295019910542,0.005713985776106778,0.0,0.0,1.0,22.0,280.6204083562419,14.94709699516535,nan,14.94709699516535,nan,nan,0.5721678349431172,1.8333589546009408,0.0,5.147158030208536,31.81971413167308,52.17661499302436,0.0,196.62407923154447
A_short_window_none_i0,A,,short_window,none,0,M,13.178710273333897,13.178710273333897,25.085879953795626,11.19132144087626,5.639422289832366,0.0,0.0,73.0,37.0,277.8462860650896,7.064106579994257,nan,nan,7.305088950341156,7.064106579994257,2.8408187331783514,8.8835504333809,0.0,1.4543411067746537,51.388305929735395,40.679560661657064,0.0,185.77841947369714
A_short_window_none_i0,A,,short_window,none,0,R,35.424786397226136,35.424786397226136,45.16276119884294,21.699360474890135,32.50607299706934,40.0,2.8803809668377203,167.0,37.0,253.53888561080925,7.064106579994257,13.001562500000073,12.019703965778486,nan,7.064106579994257,6.600625000000002,10.032812500000004,0.0,18.79134889722612,44.76203124999998,39.59218750000031,0.0,169.18466686080896
A_short_window_none_i0,A,,short_window,none,0,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,287.99999999999795,7.305088950341156,13.001562500000073,nan,7.305088950341156,nan,0.0,0.0,0.0,0.0,51.300000000000324,49.50000000000031,0.0,187.19999999999732
A_short_window_none_i0,A,,short_window,none,0,B,29.98551633792049,29.98551633792049,11.13921598934196,9.808347948381778,0.014562844756416931,0.0,0.0,2.0,37.0,258.1377097336464,12.019703965778486,nan,12.019703965778486,nan,nan,1.7109504446232602,9.0388688677314,0.0,19.23569702556583,49.661019882021904,40.46159791048591,0.0,168.01509194113856
