run_id,t_s,method,scenario,disturbance,init_variant,vehicle,s_m,y_m,v_mps,a_mps2,q,qdot_nominal_s-1,qdot_base_s-1,qdot_space_s-1,qdot_partner_s-1,qdot_clipped_s-1,K_to_partner_s-1,W_to_partner,z_self,z_other,g_FR_m,target_gap_m,gap_error_m,lower_m,upper_m,interval_width_m,s_ref_m,target_time_s,merge_progress,task_phase,a_nom_mps2,a_safety_target_mps2,a_actual_mps2,jerk_mps3,nominal_actual_difference_mps2,safety_correction_mps2,action_correction_reason,F_disturbance_mps2
A_ample_none_i0,0.45,A,ample,none,0,M,83.85546874999999,3.6,21.71875,-1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.427075099371077,32.4,-1.9729249006289216,86.1126137496498,93.89341466274863,7.78080091309883,90.00301420619921,,0.0,PREPARE,-1.2943636359501935,-1.2943636359501935,-1.25,-2.5,0.04436363595019355,0.0,jerk_limit,0.0
A_ample_none_i0,0.45,A,ample,none,0,R,73.06790206337755,0.0,17.84203338934929,-0.3675613615353089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.427075099371077,32.4,-1.9729249006289216,86.1126137496498,93.89341466274863,7.78080091309883,90.00301420619921,,0.0,PREPARE,-0.3537148164677288,-0.3537148164677288,-0.3537148164677288,0.2769309013516019,0.0,0.0,,0.0
A_ample_none_i0,0.45,A,ample,none,0,F,108.29497716274862,0.0,18.356405529158287,-0.31639133136766906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.427075099371077,32.4,-1.9729249006289216,86.1126137496498,93.89341466274863,7.78080091309883,,,0.0,PREPARE,-0.30294469978454436,-0.30294469978454436,-0.30294469978454436,0.26893263166249404,0.0,0.0,,0.0
A_ample_none_i0,0.45,A,ample,none,0,B,46.121614274516794,0.0,18.096069766234482,0.18957727444980627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.427075099371077,32.4,-1.9729249006289216,86.1126137496498,93.89341466274863,7.78080091309883,,,0.0,PREPARE,0.17969269406739086,0.17969269406739086,0.17969269406739086,-0.19769160764830818,0.0,0.0,,0.0
A_ample_none_i0,0.5,A,ample,none,0,M,84.93984374999998,3.6,21.65625,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.452857169007384,32.4,-1.9471428309926146,86.99808326630848,94.83273125833182,7.834647992023335,90.91540726232014,,0.0,PREPARE,-1.2998591219199587,-1.2998591219199587,-1.2998591219199587,-0.9971824383991734,0.0,0.0,,0.0
A_ample_none_i0,0.5,A,ample,none,0,R,73.95956158932442,0.0,17.824347648525904,-0.3537148164677288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.452857169007384,32.4,-1.9471428309926146,86.99808326630848,94.83273125833182,7.834647992023335,90.91540726232014,,0.0,PREPARE,-0.33983219999359576,-0.33983219999359576,-0.33983219999359576,0.2776523294826605,0.0,0.0,,0.0
A_ample_none_i0,0.5,A,ample,none,0,F,109.21241875833181,0.0,18.34125829416906,-0.30294469978454436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.452857169007384,32.4,-1.9471428309926146,86.99808326630848,94.83273125833182,7.834647992023335,,,0.0,PREPARE,-0.2900695500436999,-0.2900695500436999,-0.2900695500436999,0.25750299481688943,0.0,0.0,,0.0
A_ample_none_i0,0.5,A,ample,none,0,B,47.0266423786961,0.0,18.105054400937853,0.17969269406739086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.452857169007384,32.4,-1.9471428309926146,86.99808326630848,94.83273125833182,7.834647992023335,,,0.0,PREPARE,0.1700621551189839,0.1700621551189839,0.1700621551189839,-0.19261077896813916,0.0,0.0,,0.0
A_ample_none_i0,0.55,A,ample,none,0,M,86.02103142609758,3.6,21.591257043904,-1.2998591219199587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.478764904601984,32.4,-1.9212350953980142,87.88292879498489,95.77217912073631,7.889250325751419,91.8275539578606,,0.0,PREPARE,-1.303123593401645,-1.303123593401645,-1.303123593401645,-0.06528942963372586,0.0,0.0,,0.0
A_ample_none_i0,0.55,A,ample,none,0,R,74.85035418150072,0.0,17.807356038526226,-0.33983219999359576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.478764904601984,32.4,-1.9212350953980142,87.88292879498489,95.77217912073631,7.889250325751419,91.8275539578606,,0.0,PREPARE,-0.32594466383447723,-0.32594466383447723,-0.32594466383447723,0.2777507231823706,0.0,0.0,,0.0
