run_id,method,ablation,scenario,disturbance,init_variant,stage,speed_deficit_distance_m
S3_short_window_none_i1,S3,,short_window,none,1,handoff,0
S3_short_window_none_i1,S3,,short_window,none,1,normal_follow,0
S3_short_window_none_i1,S3,,short_window,none,1,failure_handling,245.6791207798106
S3_short_window_none_i2,S3,,short_window,none,2,prepare,64.8772116368536
S3_short_window_none_i2,S3,,short_window,none,2,execute,0
S3_short_window_none_i2,S3,,short_window,none,2,handoff,0
S3_short_window_none_i2,S3,,short_window,none,2,normal_follow,0
S3_short_window_none_i2,S3,,short_window,none,2,failure_handling,177.1672622617502
S3_short_window_prepare_i0,S3,,short_window,prepare,0,prepare,57.714604878178065
S3_short_window_prepare_i0,S3,,short_window,prepare,0,execute,0
S3_short_window_prepare_i0,S3,,short_window,prepare,0,handoff,0
S3_short_window_prepare_i0,S3,,short_window,prepare,0,normal_follow,0
S3_short_window_prepare_i0,S3,,short_window,prepare,0,failure_handling,162.03310847320571
S3_short_window_prepare_i1,S3,,short_window,prepare,1,prepare,128.69810767018328
S3_short_window_prepare_i1,S3,,short_window,prepare,1,execute,0
S3_short_window_prepare_i1,S3,,short_window,prepare,1,handoff,0
S3_short_window_prepare_i1,S3,,short_window,prepare,1,normal_follow,0
S3_short_window_prepare_i1,S3,,short_window,prepare,1,failure_handling,245.68414089114245
S3_short_window_prepare_i2,S3,,short_window,prepare,2,prepare,66.14937565587054
S3_short_window_prepare_i2,S3,,short_window,prepare,2,execute,0
S3_short_window_prepare_i2,S3,,short_window,prepare,2,handoff,0
S3_short_window_prepare_i2,S3,,short_window,prepare,2,normal_follow,0
S3_short_window_prepare_i2,S3,,short_window,prepare,2,failure_handling,177.1923134124635
S2_collaborative_none_i0_no_partner,S2,no_partner,collaborative,none,0,prepare,0.7512183221912916
S2_collaborative_none_i0_no_partner,S2,no_partner,collaborative,none,0,execute,11.932025726203761
S2_collaborative_none_i0_no_partner,S2,no_partner,collaborative,none,0,handoff,8.853612500757565
S2_collaborative_none_i0_no_partner,S2,no_partner,collaborative,none,0,normal_follow,35.09847139117106
