environment_id,scenario,disturbance,init_variant,method_a,method_b,a_mission_valid,b_mission_valid,a_full_valid,b_full_valid,common_mission,common_full,cost_a_m,cost_b_m,delta_b_minus_a_all_m,delta_b_minus_a_common_mission_m,delta_b_minus_a_common_full_m
short_window_prepare_i0,short_window,prepare,0,P,S3,0,0,0,0,0,0,219.74771335138377,219.74771335138377,0.0,,
short_window_prepare_i0,short_window,prepare,0,S1,S2,0,0,0,0,0,0,219.74771335138377,219.74771335138377,0.0,,
short_window_prepare_i0,short_window,prepare,0,S1,S3,0,0,0,0,0,0,219.74771335138377,219.74771335138377,0.0,,
short_window_prepare_i0,short_window,prepare,0,S2,S3,0,0,0,0,0,0,219.74771335138377,219.74771335138377,0.0,,
short_window_prepare_i1,short_window,prepare,1,P,S1,0,0,0,0,0,0,374.3822485613257,374.3822485613257,0.0,,
short_window_prepare_i1,short_window,prepare,1,P,S2,0,0,0,0,0,0,374.3822485613257,374.3822485613257,0.0,,
short_window_prepare_i1,short_window,prepare,1,P,S3,0,0,0,0,0,0,374.3822485613257,374.3822485613257,0.0,,
short_window_prepare_i1,short_window,prepare,1,S1,S2,0,0,0,0,0,0,374.3822485613257,374.3822485613257,0.0,,
short_window_prepare_i1,short_window,prepare,1,S1,S3,0,0,0,0,0,0,374.3822485613257,374.3822485613257,0.0,,
short_window_prepare_i1,short_window,prepare,1,S2,S3,0,0,0,0,0,0,374.3822485613257,374.3822485613257,0.0,,
short_window_prepare_i2,short_window,prepare,2,P,S1,0,0,0,0,0,0,243.34168906833406,243.34168906833406,0.0,,
short_window_prepare_i2,short_window,prepare,2,P,S2,0,0,0,0,0,0,243.34168906833406,243.34168906833406,0.0,,
short_window_prepare_i2,short_window,prepare,2,P,S3,0,0,0,0,0,0,243.34168906833406,243.34168906833406,0.0,,
short_window_prepare_i2,short_window,prepare,2,S1,S2,0,0,0,0,0,0,243.34168906833406,243.34168906833406,0.0,,
short_window_prepare_i2,short_window,prepare,2,S1,S3,0,0,0,0,0,0,243.34168906833406,243.34168906833406,0.0,,
short_window_prepare_i2,short_window,prepare,2,S2,S3,0,0,0,0,0,0,243.34168906833406,243.34168906833406,0.0,,
