run_id,t_s,event,decision,valid_plan,reason,candidate_count,decision_seconds,action,start_s,completion_s,completion_s_m,completion_t_s,predicted_min_h_m,predicted_min_net_m,execution_margin_mps2,raw_gradient_M,raw_gradient_R,gradient_M,gradient_R,partner_M,partner_R,feedback_M,feedback_R,raw_K_MR,raw_K_RM,raw_W,K_MR,K_RM,W,z_M,z_R,delta_z_M,delta_z_R,base_z_M,base_z_R,proposal_z_M,proposal_z_R,accepted_z_M,accepted_z_R,state_update_accepted,proposal_valid,partner_enabled,feedback_enabled,coupling_ablation,phase
S3_collaborative_prepare_i1,4.0,plan_generated,1,1,,7,0.13157050003064796,hold_and_refine,4.0,169.59742952715834,169.59742952715834,7.0,0.5277503696074577,5.4594720409684045,1.226344170385498,1.5669357086760969,2.189264119920811,1.5669357086760969,2.189264119920811,-0.04608180323999333,0.017993249418577,-0.028204842756169742,-0.0394067541585746,0.2301391325477982,0.08986086745220181,0.3312593317077131,0.2301391325477982,0.08986086745220181,0.3312593317077131,0.5493800707976353,0.36908821717916046,-0.0400906767357484,-0.013769615027653337,0.5894707475333837,0.3828578322068138,0.5493800707976353,0.36908821717916046,0.5493800707976353,0.36908821717916046,1,1,1,1,,EXECUTE
S3_collaborative_prepare_i1,4.5,plan_generated,1,1,,7,0.12518759997328743,hold_and_refine,4.0,169.88529744318527,169.88529744318527,7.0,0.5667334125869505,5.544019840464313,1.2303259246471343,1.087462975151094,1.7325038078102666,1.087462975151094,1.7325038078102666,-0.036343687825085576,0.013182952060988181,-0.019574333552719692,-0.031185068540584795,0.23482271623473455,0.08517728376526545,0.2884281430674759,0.23482271623473455,0.08517728376526545,0.2884281430674759,0.5186741597547445,0.3571344532019289,-0.030705911042890777,-0.01195376397723158,0.5493800707976353,0.36908821717916046,0.5186741597547445,0.3571344532019289,0.5186741597547445,0.3571344532019289,1,1,1,1,,EXECUTE
S3_collaborative_prepare_i1,5.0,plan_generated,1,1,,7,0.10417870001401752,hold_and_refine;state_update_rejected,4.0,169.88529744318527,169.88529744318527,7.0,0.5667334125869505,5.544019840464313,1.2303259246471343,0.1915659159485194,1.2845575012731116,0.1915659159485194,1.2845575012731116,-0.029896838784716703,0.01022789349852772,-0.003448186487073349,-0.02312203502291601,0.23843120855174896,0.08156879144825105,0.2580106707183517,0.23843120855174896,0.08156879144825105,0.2580106707183517,0.5186741597547445,0.3571344532019289,0.0,0.0,0.5186741597547445,0.3571344532019289,0.4994082763200758,0.3478303068141193,0.5186741597547445,0.3571344532019289,0,0,1,1,,EXECUTE
S3_collaborative_prepare_i1,5.5,plan_generated,1,1,,7,0.07695620000595227,hold_and_refine,4.0,169.95801707386394,169.95801707386394,7.0,0.5816071232193778,5.575225044667275,1.233019262603234,0.5624259592101397,0.8865506710212403,0.5624259592101397,0.8865506710212403,-0.027782705612944936,0.009076458526907335,-0.010123667265782513,-0.015957912078382323,0.24120096056464757,0.07879903943535244,0.23701236421239327,0.24120096056464757,0.07879903943535244,0.23701236421239327,0.49712760251660704,0.35083665080057597,-0.021546557238137476,-0.006297802401352914,0.5186741597547445,0.3571344532019289,0.49712760251660704,0.35083665080057597,0.49712760251660704,0.35083665080057597,1,1,1,1,,EXECUTE
S3_collaborative_prepare_i1,6.0,plan_generated,1,1,,7,0.06677519995719194,hold_and_refine,4.0,169.98503046735595,169.98503046735595,6.999999999999999,0.5897604288855485,5.59175320825845,1.2338175301326546,0.3875667582328556,0.5637360981655971,0.3875667582328556,0.5637360981655971,-0.024070380315976008,0.007585379028107852,-0.0069762016481914,-0.010147249766980747,0.24332133743466325,0.07667866256533676,0.22301451420956286,0.24332133743466325,0.07667866256533676,0.22301451420956286,0.4791186735219403,0.3467490222247349,-0.018008928994666717,-0.004087628575841051,0.49712760251660704,0.35083665080057597,0.4791186735219403,0.3467490222247349,0.4791186735219403,0.3467490222247349,1,1,1,1,,EXECUTE
S3_collaborative_prepare_i1,6.5,plan_generated,1,1,,7,0.05495910003082827,hold_and_refine,4.0,169.9907132630548,169.9907132630548,6.999999999999997,0.593715553110969,5.599362612527199,1.235019872820109,0.2414969916891075,0.3095779417943412,0.2414969916891075,0.3095779417943412,-0.021170111141453805,0.0064873840242982385,-0.004346945850403934,-0.005572402952298142,0.24494031453918225,0.07505968546081776,0.21395123504020663,0.24494031453918225,0.07505968546081776,0.21395123504020663,0.4639645516584017,0.3444325205829371,-0.015154121863538594,-0.002316501641797808,0.4791186735219403,0.3467490222247349,0.4639645516584017,0.3444325205829371,0.4639645516584017,0.3444325205829371,1,1,1,1,,EXECUTE
S3_collaborative_prepare_i2,0.0,plan_generated,1,1,,102,0.22351179999532178,new_joint_plan;state_update_rejected,2.0,161.0562499999998,161.0562499999998,5.0,0.0062500000002625455,7.8781249999999945,1.3565484581118274,-127.07034715465585,3.9240314557750997,-4.0,3.9240314557750997,-0.09676468120373971,0.06774888353244536,0.072,-0.0706325662039518,0.1882197254363303,0.1317802745636697,0.5936371930361336,0.1882197254363303,0.1317802745636697,0.5936371930361336,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6509509927314634,0.32922482533091346,0.6666666666666666,0.3333333333333333,0,0,1,1,,PREPARE
S3_collaborative_prepare_i2,0.5,plan_generated,1,1,,7,0.15742469998076558,hold_and_refine;state_update_rejected,2.0,161.0562499999998,161.0562499999998,5.0,0.0062500000002625455,7.8781249999999945,1.375,-127.07034715465585,3.7466002113835204,-4.0,3.7466002113835204,-0.10139780994575098,0.06978538536466022,0.072,-0.06743880380490336,0.1895472223415548,0.1304527776584452,0.6177041493325387,0.1895472223415548,0.1304527776584452,0.6177041493325387,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6486344283604578,0.3318399574465451,0.6666666666666666,0.3333333333333333,0,0,1,1,,PREPARE
S3_collaborative_prepare_i2,1.0,plan_generated,1,1,,7,0.14987869997275993,hold_and_refine;state_update_rejected,2.0,161.0562499999998,161.0562499999998,5.0,0.0062500000002625455,7.8781249999999945,1.375,-81.96395901222242,3.095400255933268,-4.0,3.095400255933268,-0.1106625133490251,0.07371854185051872,0.072,-0.05571720460679882,0.19205880036516704,0.12794119963483297,0.6653278240807743,0.19205880036516704,0.12794119963483297,0.6653278240807743,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6440020766588207,0.3396673352885266,0.6666666666666666,0.3333333333333333,0,0,1,1,,PREPARE
S3_collaborative_prepare_i2,1.5,plan_generated,1,1,,103,0.2303643999621272,new_joint_plan,2.5,169.02040930969798,169.02040930969798,5.5,0.13692693927274746,8.264461459496925,1.3670999705362443,2.5451114144317244,2.9676346301347505,2.5451114144317244,2.9676346301347505,-0.12418168813638009,0.07889583540617734,-0.04581200545977104,-0.0534174233424255,0.1956796572581505,0.1243203427418495,0.7327928930228631,0.1956796572581505,0.1243203427418495,0.7327928930228631,0.5783364865352577,0.34340587269854256,-0.08833018013140892,0.010072539365209243,0.6666666666666666,0.3333333333333333,0.5783364865352577,0.34340587269854256,0.5783364865352577,0.34340587269854256,1,1,1,1,,PREPARE
S3_collaborative_prepare_i2,2.0,plan_generated,1,1,,103,0.2612478000228293,new_joint_plan,3.0,167.66526117029522,167.66526117029522,6.0,0.9181731044102266,5.737645359424261,1.2698689775162721,1.862832657569003,3.224542839688646,1.862832657569003,3.224542839688646,-0.13638166384127262,0.08157374445398259,-0.03353098783624205,-0.058041771114395624,0.20023422575542169,0.11976577424457832,0.7864788353162524,0.20023422575542169,0.11976577424457832,0.7864788353162524,0.9100436741612427,0.6730993200031268,-0.08995632583875735,0.006432653336460148,1.0,0.6666666666666666,0.9100436741612427,0.6730993200031268,0.9100436741612427,0.6730993200031268,1,1,1,1,,PREPARE
S3_collaborative_prepare_i2,2.5,plan_generated,1,1,,7,0.15566980000585318,hold_and_refine,3.0,168.9182521413509,168.9182521413509,6.0,0.6832578842444637,5.794206237745169,1.374741787243834,1.7987754821878428,3.1018160027931936,1.7987754821878428,3.1018160027931936,-0.09645029978934253,0.05356482865996317,-0.03237795867938117,-0.05583268805027748,0.20573988938068635,0.11426011061931365,0.6919334496716403,0.20573988938068635,0.11426011061931365,0.6919334496716403,0.8410793265560745,0.6665805957479446,-0.06896434760516812,-0.0065187242551821845,0.9100436741612427,0.6730993200031268,0.8410793265560745,0.6665805957479446,0.8410793265560745,0.6665805957479446,1,1,1,1,,PREPARE
S3_collaborative_prepare_i2,3.0,plan_generated,1,1,,7,0.13706359994830564,hold_and_refine,3.0,169.5876481701498,169.5876481701498,6.0,0.6857341716701146,5.875880713969747,1.341897340993448,1.437371961841388,2.4664867609208563,1.437371961841388,2.4664867609208563,-0.06542767163176837,0.0331657537282852,-0.025872695313144983,-0.04439676169657541,0.21235548765758494,0.10764451234241507,0.5911952102089353,0.21235548765758494,0.10764451234241507,0.5911952102089353,0.7912237464508375,0.655632446997816,-0.04985558010523705,-0.010948148750128617,0.8410793265560745,0.6665805957479446,0.7912237464508375,0.655632446997816,0.7912237464508375,0.655632446997816,1,1,1,1,,EXECUTE
S3_collaborative_prepare_i2,3.5,plan_generated,1,1,,7,0.16324429999804124,hold_and_refine,3.0,169.92277444802656,169.92277444802656,6.0,1.0206577519803322,5.9526654318529895,1.3054635507100385,1.0613525006471205,1.9006796482051662,1.0613525006471205,1.9006796482051662,-0.04447702347089857,0.02041315929738519,-0.019104345011648167,-0.034212233667692986,0.21933437237356657,0.10066562762643344,0.4907515436192279,0.21933437237356657,0.10066562762643344,0.4907515436192279,0.7554769434773099,0.6434878502366795,-0.035746802973527614,-0.01214459676113644,0.7912237464508375,0.655632446997816,0.7554769434773099,0.6434878502366795,0.7554769434773099,0.6434878502366795,1,1,1,1,,EXECUTE
S3_collaborative_prepare_i2,4.0,plan_generated,1,1,,7,0.12480530003085732,hold_and_refine;state_update_rejected,3.0,169.92277444802656,169.92277444802656,6.0,1.0206577519803322,5.9526654318529895,1.3054635507100385,-0.13091380804622232,1.4076724514948489,-0.13091380804622232,1.4076724514948489,-0.03146548274677707,0.013100111573880224,0.0023564485448320017,-0.025338104126907277,0.22593560419099906,0.09406439580900094,0.4041298165128414,0.22593560419099906,0.09406439580900094,0.4041298165128414,0.7554769434773099,0.6434878502366795,0.0,0.0,0.7554769434773099,0.6434878502366795,0.7371450416589508,0.6322209511582726,0.7554769434773099,0.6434878502366795,0,0,1,1,,EXECUTE
