run_id,method,ablation,scenario,disturbance,init_variant,outcome,success,task_phase,failure_type,merge_start_time_s,completion_time_s,physical_target_gap_m,physical_gap_floor_m,min_net_gap_m,hard_violation_count,road_violation_count,safety_recheck_violation_count,safety_correction_count,action_saturation_count,safety_correction_abs_mean_mps2,max_abs_jerk_mps3,mean_abs_jerk_mps3,compute_time_s,pair_gain_total_error_max_s-1,space_feedback_abs_mean_s-1,partner_feedback_abs_mean_s-1,effective_q_delta_abs_mean_s-1,q_saturation_fraction,space_feedback_prepare_mean_s-1,space_feedback_execute_mean_s-1,space_feedback_failure_handling_mean_s-1,mean_spatial_reference_offset_m,K_MR_mean_s-1,K_RM_mean_s-1,total_speed_deficit_distance_m,total_speed_deficit_integral_m_s,total_effort_integral_m2_s3
C_ample_none_i0,C,,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.315766314776862,0,0,0,4,40,2.445794162874412,2.500000000000002,0.11641028419401625,0.13230789999943227,0.0,0.013733613860463484,0.0004782195328938407,0.06286348353212504,0.115625,0.0037404452690633005,0.009727316002450435,0.0,0.29646599568943605,0.04501557632398753,0.04501557632398753,0.07370716413856936,0.07370716413856936,5.587690553485938
C_ample_none_i1,C,,ample,none,1,missed_window,0,FAILURE_HANDLING,missed_window,,,30.2,21.400000000000002,16.96658360254504,0,0,0,0,48,0.0,2.500000000000002,0.15530089457616722,0.2779840999864973,0.0,0.02409241886130374,0.00035600709839590664,0.06339617120978255,0.13125,0.012842264450249307,0.0,0.029203373186038332,0.44054569322422765,0.049252336448598125,0.049252336448598125,0.11918877726522706,0.11918877726522706,9.68788903769157
C_ample_none_i2,C,,ample,none,2,completed,1,SUCCESS_RELEASE,,1.7000000000000002,4.7,27.2,21.400000000000002,4.775814532115857,0,0,66,69,183,4.768738686936347,2.5000000000000044,0.5583539040776333,0.14138619997538626,0.0,0.13310323375146904,0.0005028629768629144,0.06286178608765067,0.14375,0.007709622500936979,0.013459178561718362,0.0,0.33120678157605205,0.04978193146417444,0.04978193146417444,78.86737685944247,78.86737685944247,109.18305105105267
C_ample_prepare_i0,C,,ample,prepare,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.372533227032118,0,0,0,10,97,2.5272270289959,2.500000000000002,0.2887353185953153,0.13036000001011416,0.0,0.005564611034224737,0.0004930236921256893,0.06328095771511466,0.115625,0.0037404452690633005,0.012881232631052501,0.0,0.29642320074400497,0.04501557632398753,0.04501557632398753,6.2254501215158315,6.2254501215158315,14.23340546717193
C_ample_prepare_i1,C,,ample,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,30.2,21.400000000000002,16.76891202963385,0,0,0,0,76,0.0,2.500000000000002,0.25783325609771035,0.3064322000136599,0.0,0.023343310348609737,0.0003872090695033172,0.06327142901426219,0.134375,0.014984505355961238,0.0,0.02736824208113195,0.44044655149812373,0.04978193146417444,0.04978193146417444,2.5202103505250713,2.5202103505250713,11.457981815315277
C_ample_prepare_i2,C,,ample,prepare,2,completed,1,SUCCESS_RELEASE,,1.7000000000000002,4.7,27.2,21.400000000000002,4.035892819748551,0,0,75,76,204,4.939394002091731,2.500000000000002,0.6433432390695927,0.14698860002681613,0.0,0.1516572464409625,0.0004837011755873512,0.06273728595518242,0.14375,0.00768778948375192,0.0128752028212574,0.0,0.33114807885737935,0.04978193146417444,0.04978193146417444,92.77945406370067,92.77945406370067,119.41664205419738
C_collaborative_none_i0,C,,collaborative,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,16.423928263043944,0,0,0,0,21,0.0,2.5,0.07810568815435462,0.30065140000078827,0.0,0.005641690674476538,0.0005365278944658409,0.06311480715378706,0.15,0.007732654349678319,0.0,0.005512031805769834,0.1660056975734559,0.050841121495327095,0.050841121495327095,0.850080269829598,0.850080269829598,3.5566863628492533
C_collaborative_none_i1,C,,collaborative,none,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,16.429879068884087,0,0,0,0,29,0.0,2.5,0.09239037139632256,0.3208681999822147,0.0,0.011062386095005287,0.0005364797495588597,0.0630322489231456,0.146875,0.01007720830323103,0.0,0.012251004790849769,0.29852873026192644,0.050841121495327095,0.050841121495327095,0.3300878976343679,0.3300878976343679,4.328867358125888
C_collaborative_none_i2,C,,collaborative,none,2,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,16.387393392902208,0,0,0,0,28,0.0,2.5,0.11663473343140074,0.28617510001640767,0.0,0.014395083249126157,0.001219779871870477,0.06304738273586238,0.153125,0.031075169936583727,0.0,0.008889976299866823,0.20039850782209773,0.05137071651090342,0.05137071651090342,4.66951344238417,4.66951344238417,4.544299986599158
C_collaborative_prepare_i0,C,,collaborative,prepare,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,16.263483995490343,0,0,0,0,52,0.0,2.5,0.1979251408091089,0.27584810002008453,0.0,0.007154636400490122,0.0005845648635026512,0.0633248071325806,0.153125,0.011371775855201978,0.0,0.006159112764677558,0.16600577360025212,0.05137071651090342,0.05137071651090342,4.612938315991392,4.612938315991392,6.4443661650069215
C_collaborative_prepare_i1,C,,collaborative,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,16.273655206850048,0,0,0,0,58,0.0,2.5,0.2064921397890392,0.27856820001034066,0.0,0.012102149447019659,0.0005864524757409762,0.06270044804251049,0.153125,0.01369159466206208,0.0,0.012245839362168104,0.29850880475410707,0.05190031152647974,0.05190031152647974,3.2163253033528583,3.2163253033528583,6.469385582049569
C_collaborative_prepare_i2,C,,collaborative,prepare,2,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,16.270594272328264,0,0,0,0,58,0.0,2.500000000000002,0.23674531152741451,0.30132779997074977,0.0,0.015054714719596763,0.001321175083158448,0.06302444230342823,0.15625,0.034794883107199255,0.0,0.008244982848541173,0.2004000750515364,0.05190031152647974,0.05190031152647974,9.150338617006167,9.150338617006167,7.9765571065044725
C_short_window_none_i0,C,,short_window,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,12.984847962629427,0,0,0,0,31,0.0,2.5,0.16371472100557713,0.3020226000226103,0.0,0.02581959571634234,0.004619169661575369,0.06302209557175656,0.153125,0.07966345811551379,0.0,0.008387884920804538,0.09883480752909057,0.05242990654205607,0.05242990654205607,17.274062592534932,17.274062592534932,8.553999391571525
C_short_window_none_i1,C,,short_window,none,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,12.849075405477219,0,0,0,0,36,0.0,2.5,0.17691266290747798,0.28596680000191554,0.0,0.0301032984119385,0.004770284042273403,0.06331459830784951,0.153125,0.08202557770715463,0.0,0.01344085733923794,0.2307908933773378,0.0529595015576324,0.0529595015576324,15.137858049680887,15.137858049680887,7.422599419066935
C_short_window_none_i2,C,,short_window,none,2,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,10.204875000000012,0,0,0,0,26,0.0,2.5,0.17483060546661294,0.3245725000160746,0.0,0.03331797721790063,0.0062157285524081386,0.0630121801662842,0.15625,0.09903546792936221,0.0,0.012487450243466288,0.13372958340554317,0.0529595015576324,0.0529595015576324,22.91111780471581,22.91111780471581,9.31986448406959
C_short_window_prepare_i0,C,,short_window,prepare,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,12.984847962629427,0,0,0,0,60,0.0,2.5,0.2718641978284857,0.2896621000254527,0.0,0.02603865497663237,0.0049304355987993265,0.06314573477788869,0.159375,0.08246826285235448,0.0,0.007218330758220739,0.09884789154104848,0.053489096573208716,0.053489096573208716,22.91138167499327,22.91138167499327,13.387460892818368
C_short_window_prepare_i1,C,,short_window,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,12.849075405477219,0,0,0,0,65,0.0,2.5,0.2881616233040959,0.32281659997534007,0.0,0.03003678170857258,0.005094866739916625,0.06314033530132933,0.15625,0.08533443176290745,0.0,0.011978766645949282,0.23080648958840108,0.053489096573208716,0.053489096573208716,20.224626282765698,20.224626282765698,11.581897551616807
C_short_window_prepare_i2,C,,short_window,prepare,2,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,10.204875000000012,0,0,0,0,56,0.0,2.5,0.2862476291185863,0.3297201000386849,0.0,0.03339090629408782,0.006603013693373802,0.06286502906847047,0.159375,0.10224435968858268,0.0,0.011284813093337294,0.13374606911149203,0.053489096573208716,0.053489096573208716,28.429694849970264,28.429694849970264,14.172845654199797
D_ample_none_i0,D,,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.39444985998541,0,0,0,4,43,3.57928906980618,2.500000000000001,0.12273189115778807,0.11791689996607602,0.0,0.013252950315965479,0.0004778106593979761,0.06289080493259822,0.115625,0.003740161373229635,0.009730473644522977,0.0,0.2964100127949352,0.039938604239880264,0.05009254840809483,0.19134966277225143,0.19134966277225143,5.800932636490836
D_ample_none_i1,D,,ample,none,1,missed_window,0,FAILURE_HANDLING,missed_window,,,30.2,21.400000000000002,16.96658360254504,0,0,0,0,48,0.0,2.5,0.15529228085131005,0.27346090000355616,0.0,0.02414321052706425,0.0003554455050546403,0.06344128230951054,0.13125,0.012858706640313399,0.0,0.02926744587105242,0.44034726515787803,0.04139477573135719,0.05710989716583908,0.11918877726522706,0.11918877726522706,9.710017112339408
D_ample_none_i2,D,,ample,none,2,completed,1,SUCCESS_RELEASE,,1.7000000000000002,4.7,27.2,21.400000000000002,4.797099298505128,0,0,66,69,183,4.767173853508978,2.5000000000000044,0.5583844762923188,0.15262880001682788,0.0,0.13312188568089384,0.0005024223830560852,0.06288902487940691,0.14375,0.007708773106113158,0.013471231172760278,0.0,0.33114628704811827,0.042179055190895376,0.057384807737453546,78.84881040488938,78.84881040488938,109.16020051709741
D_ample_prepare_i0,D,,ample,prepare,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.368089801503583,0,0,0,10,97,2.5254201377845327,2.500000000000002,0.2888725411243823,0.10714390000794083,0.0,0.0055686662002235624,0.0004925067735321034,0.06276168146568409,0.115625,0.003740161373229635,0.012884582597382451,0.0,0.29636858054370724,0.03960453689937443,0.05042661574860064,6.2295189107159485,6.2295189107159485,14.24670367863172
D_ample_prepare_i1,D,,ample,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,30.2,21.400000000000002,16.76891202963385,0,0,0,0,76,0.0,2.500000000000002,0.25802259299190833,0.3106753999600187,0.0,0.02338593965989285,0.0003865446523320439,0.06331539818582882,0.134375,0.015001051304303946,0.0,0.027420779457112375,0.4402499674385039,0.042312202714826,0.057251660213522904,2.5202103505250713,2.5202103505250713,11.478532019026153
