run_id,t_s,method,ablation,scenario,disturbance,init_variant,vehicle,s_m,y_m,v_mps,a_mps2,q,qdot_nominal_s-1,qdot_base_s-1,qdot_space_s-1,qdot_partner_s-1,qdot_clipped_s-1,K_to_partner_s-1,W_to_partner,z_self,z_other,g_FR_m,target_gap_physical_m,target_gap_process_m,gap_error_m,lower_m,upper_m,interval_width_m,s_ref_m,s_ref_dot_mps,s_ref_ddot_mps2,reference_kind,target_time_s,merge_progress,task_phase,a_nom_mps2,a_safety_target_mps2,a_actual_mps2,jerk_mps3,nominal_actual_difference_mps2,safety_correction_mps2,safety_correction_applied,action_saturation_applied,action_correction_reason,F_disturbance_mps2,final_state
A_ample_none_i0,0.55,A,,ample,none,0,R,74.94817763931287,0.0,18.177213200343367,0.2527061980975047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.38094144678983,30.2,30.2,0.1809414467898307,88.11020225943305,95.70364031245397,7.593438053020918,91.90692128594351,18.39188901608884,0.0,slot_midpoint,,0.0,PREPARE,0.22915585291103396,0.22915585291103396,0.22915585291103396,-0.4710069037294151,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.55,A,,ample,none,0,F,110.1291190861027,0.0,18.326754816666874,-0.2900695500436999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.38094144678983,30.2,30.2,0.1809414467898307,88.11020225943305,95.70364031245397,7.593438053020918,,,,slot_midpoint,,0.0,PREPARE,-0.2777415941668428,-0.2777415941668428,-0.2777415941668428,0.24655911753714177,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.55,A,,ample,none,0,B,47.935430438559216,0.0,18.13435063774443,0.2502591903395687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.38094144678983,30.2,30.2,0.1809414467898307,88.11020225943305,95.70364031245397,7.593438053020918,,,,slot_midpoint,,0.0,PREPARE,0.24771744246386054,0.24771744246386054,0.24771744246386054,-0.05083495751416367,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.6,A,,ample,none,0,M,87.14002848767412,3.6,21.758420544184073,-0.5732333248180255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.387784905797158,30.2,30.2,0.18778490579715879,89.0233595916923,96.62966245947892,7.606302867786624,92.8265110255856,18.39118747107631,0.0,slot_midpoint,,0.0,PREPARE,-0.5987192093867852,-0.5987192093867852,-0.5987192093867852,-0.5097176913751955,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.6,A,,ample,none,0,R,75.85732474414618,0.0,18.188670992988918,0.22915585291103396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.387784905797158,30.2,30.2,0.18778490579715879,89.0233595916923,96.62966245947892,7.606302867786624,92.8265110255856,18.39118747107631,0.0,slot_midpoint,,0.0,PREPARE,0.2068221025203607,0.2068221025203607,0.2068221025203607,-0.44667500781346514,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.6,A,,ample,none,0,F,111.04510964994334,0.0,18.31286773695853,-0.2777415941668428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.387784905797158,30.2,30.2,0.18778490579715879,89.0233595916923,96.62966245947892,7.606302867786624,,,,slot_midpoint,,0.0,PREPARE,-0.26593757641475085,-0.26593757641475085,-0.26593757641475085,0.23608035504183889,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.6,A,,ample,none,0,B,48.84245761724952,0.0,18.146736509867623,0.24771744246386054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.387784905797158,30.2,30.2,0.18778490579715879,89.0233595916923,96.62966245947892,7.606302867786624,,,,slot_midpoint,,0.0,PREPARE,0.2449556923803776,0.2449556923803776,0.2449556923803776,-0.055235001669659,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.65,A,,ample,none,0,M,88.2272011158716,3.6,21.728484583714735,-0.5987192093867852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.39340379339698,30.2,30.2,0.19340379339698188,89.93667105576401,97.55545101052061,7.618779954756604,93.74606103314231,18.390261207710115,0.0,slot_midpoint,,0.0,PREPARE,-0.6232190462850928,-0.6232190462850928,-0.6232190462850928,-0.48999673796615184,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.65,A,,ample,none,0,R,76.76701682142378,0.0,18.199012098114935,0.2068221025203607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.39340379339698,30.2,30.2,0.19340379339698188,89.93667105576401,97.55545101052061,7.618779954756604,93.74606103314231,18.390261207710115,0.0,slot_midpoint,,0.0,PREPARE,0.1856564291175269,0.1856564291175269,0.1856564291175269,-0.42331346805667636,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.65,A,,ample,none,0,F,111.96042061482076,0.0,18.29957085813779,-0.26593757641475085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.39340379339698,30.2,30.2,0.19340379339698188,89.93667105576401,97.55545101052061,7.618779954756604,,,,slot_midpoint,,0.0,PREPARE,-0.25463522941712247,-0.25463522941712247,-0.25463522941712247,0.22604693995256775,0.0,0.0,0,0,,0.0,
